Sample Name,Sample ID,Region,lat,long,origin,Phase,xco2,x3he,x4he
Termas Quimey-Có,QC,SVZ,-39.22,-71.7,published,G,,,
Termas de Balboa,BB,SVZ,-38.96,-71.71,published,G,0.999990370660086,8.54693635049547E-11,9.62925444452231E-06
Agua de la Vaca,VA,SVZ,-38.58,-71.63,published,G,0.996964529330428,1.66160754903541E-08,0.003035454053497
Ban˜ os del Toro (Sierra,BT,SVZ,-38.57,-71.62,published,G,0.999982174567159,1.14545590816428E-10,1.78253182957544E-05
Jaime Muro (Tolhuaca,JM,SVZ,-38.29,-71.67,published,G,0.999991387919668,7.69224023687505E-11,8.6120034096909E-06
Pelehue,PL,SVZ,-38.12,-71.06,published,G,0.999939196222583,6.40986667132322E-10,6.08031364300176E-05
Termas del Avellano,AV,SVZ,-37.99,-71.53,published,G,,,
Las Maquinas (Copahue,LM,SVZ,-37.83,-71.08,published,G,0.999988453126977,1.20917660820981E-10,1.15467521050778E-05
Nevado de Chillan Vn.,NC,SVZ,-36.91,-71.4,published,G,0.99998819760932,5.61792252190443E-11,1.18023345011014E-05
Termas de Catillo,CH-CT200308,SVZ,-36.29,-71.65,this_study,G,,,
Campanario,CH-CP-200307,SVZ,-35.93,-70.59,this_study,G,0.999985742903382,9.99986203241557E-11,1.42569966196661E-05
Panamavida,CH-PM200308,SVZ,-35.76,-71.42,this_study,G,,,
San Pedro bano termale,CH-SP-200302-2,SVZ,-35.14,-70.48,this_study,G,0.997586165309243,8.31321802542695E-09,0.002413826377539
San Pedro bano termale,CH-SP200302-2,SVZ,-35.14,-70.48,this_study,G,0.993707504789471,2.11427128573791E-08,0.006292474067816
Termas del Flaco,CH-TF-200303,SVZ,-34.96,-70.43,this_study,G,0.99977458139499,4.54442967089651E-10,0.000225418150567
Termas del Flaco,CH-TF-200303,SVZ,-34.96,-70.43,this_study,G,0.999983792256244,2.56405964914482E-11,1.6207718114951E-05
Termas de Cauquenes,CH-CQ200301,SVZ,-34.25,-70.56,this_study,G,,,
Bano Morales,CH-BM-200312,SVZ,-33.82,-70.06,this_study,G,,,
Termas del Plomo,CH-TP-200304,SVZ,-33.62,-69.91,this_study,G,0.998584767162458,4.99292375022789E-09,0.001415227844618
Termas del Plomo,CH-TP200304,SVZ,-33.62,-69.91,this_study,G,0.997440876139605,8.3120072907894E-09,0.002559115548388
Chillan,CH5,SVZ,-36.9,-71.4,this_study,G,0.999997739587279,1.99999700295618E-11,2.26039272058607E-06
Chillan,CH6,SVZ,-36.9,-71.4,this_study,G,0.999997836729159,1.88679630226106E-11,2.1632519733858E-06
